UnitID,Institution Name,Tuition and fees - Total (F2122_F2),Total revenues and investment return - Total (F2122_F2),Net total revenues  after assets released from restriction - Total (F2122_F2),Tuition and fees - Total (F2021_F2),Total revenues and investment return - Total (F2021_F2),Net total revenues  after assets released from restriction - Total (F2021_F2),Tuition and fees - Total (F1920_F2),Total revenues and investment return - Total (F1920_F2),Net total revenues  after assets released from restriction - Total (F1920_F2),Tuition and fees - Total (F1819_F2),Total revenues and investment return - Total (F1819_F2),Net total revenues  after assets released from restriction - Total (F1819_F2),
183239,Saint Anselm College,37610494,63498643,63498643,38902055,141036972,141036972,39108486,78529093,78529093,41268575,90467371,90467371,
199582,Saint Augustine's University,1457036,32510428,32510428,1279050,32895036,32895036,12790788,27323102,27323102,10801294,32744580,32744580,
216047,Saint Charles Borromeo Seminary-Overbrook,3125229,6299743,6299743,3330284,23554335,23554335,3324513,12806471,12806471,3608006,13654073,13654073,
174792,Saint Johns University,31866538,63750921,63750921,31441814,153977566,153977566,33728887,70330219,70330219,35202050,88862980,88862980,
161518,Saint Joseph's College of Maine,17854491,33213710,33213710,20495873,41859355,41859355,20977244,34988442,34988442,21907529,39849039,39849039,
231059,Saint Michael's College,36280737,55573237,55573237,40791664,92646313,92646313,45513783,57169321,57169321,47994561,72326186,72326186,
239716,Saint Norbert College,39868901,67870283,67870283,41258986,111757319,111757319,42167687,73096524,73096524,44350224,75283706,75283706,
148627,Saint Xavier University,56458363,74252822,74252822,57556115,81623130,81623130,54901614,66660464,66660464,55533770,66744024,66744024,
199607,Salem College,4228926,15405797,15405797,6615567,34532150,34532150,5893371,18598162,18598162,6749201,30566190,30566190,
112084,San Diego Christian College,7523803,13130614,13130614,9104351,14390145,14390145,10150285,15340788,15340788,10919243,11376870,11376870,
122506,San Francisco Conservatory of Music,11848000,49856000,49856000,10865000,51010000,51010000,12006000,56338000,56338000,11711000,41926000,41926000,
195304,Sarah Lawrence College,49506804,104497778,104497778,42758189,99797953,99797953,48895212,79208635,79208635,49301260,85898180,85898180,
140951,Savannah College of Art and Design,389116339,475749164,475749164,370324705,483801534,483801534,396509848,478871042,478871042,380631322,486926595,486926595,
143048,School of the Art Institute of Chicago,125275403,159171220,159171220,107593240,145069731,145069731,128799844,160789889,160789889,125694633,160805679,160805679,
228042,Schreiner University,16093979,38840329,38840329,16910450,37901557,37901557,17932513,35653102,35653102,17658162,36238201,36238201,
195438,Sh'or Yoshuv Rabbinical College,2174817,6523486,6523486,1904015,6794447,6794447,1505996,5809724,5809724,1234912,4395358,4395358,
123280,Shasta Bible College and Graduate School,111617,1328885,1328885,177225,1026595,1026595,309269,800712,800712,266677,1211496,1211496,
199643,Shaw University,17104556,42319188,42319188,19183919,65520027,65520027,18513731,37834187,37834187,20303771,39866672,39866672,
140988,Shorter University,12497161,25700032,25700032,12628407,26940596,26940596,13267181,24772045,24772045,13671287,23438170,23438170,
195474,Siena College,62416362,119334532,119334532,62710045,151041140,151041140,57490538,113646978,113646978,47526428,106338154,106338154,
172264,Siena Heights University,15318290,39312090,39312090,17445670,45404485,45404485,20606387,36698252,36698252,21639253,39361946,39361946,
461759,Simmons College of Kentucky,2821216,14230913,14230913,814688,8162046,8162046,1068803,3690613,3690613,1032691,5944877,5944877,
154350,Simpson College,16745040,35526403,35526403,17775004,62761111,62761111,19350836,34327794,34327794,20801530,33318865,33318865,
123457,Simpson University,13633021,32136677,32136677,11919253,24792209,24792209,12201443,20885765,20885765,11585770,19866267,19866267,
399911,Soka University of America,2755000,-109249000,-109249000,2209000,378467000,378467000,2348000,1362000,1362000,3503000,65973000,65973000,
123952,Southern California Institute of Architecture,21298000,17127000,17127000,19119000,32208000,32208000,20856000,25276000,25276000,21687000,25459000,25459000,
228468,Southwestern Adventist University,11167218,28361659,28361659,9512991,28054840,28054840,8782187,19608699,19608699,9449060,21137499,21137499,
207856,Southwestern Christian University,4281191,9146215,9146215,4565963,9520261,9520261,3905903,6256924,6256924,5041034,7641177,7641177,
102234,Spring Hill College,14274211,35542405,35542405,14993027,50737386,50737386,16327161,37499912,37499912,17852090,39353575,39353575,
195164,St Bonaventure University,35550130,70565193,70565193,33729936,91661859,91661859,32884747,69286227,69286227,30572690,64789456,64789456,
195216,St Lawrence University,48879860,73988156,73988156,51668918,211337433,211337433,59358922,129080177,129080177,61189193,148011561,148011561,
199698,St. Andrews University,14299689,25159718,25159718,12934853,21710393,21710393,8310228,20047145,20047145,7147134,19397156,19397156,
195173,St. Francis College,31015703,42405131,42405131,31810762,65655228,65655228,29000047,38026415,38026415,32308765,46279592,46279592,
137272,St. John Vianney College Seminary,2220768,2536018,2536018,2222768,2736108,2736108,2286828,2829346,2829346,2361038,4104714,4104714,
163976,St. John's College,8723283,9432066,9432066,8095654,61766389,61766389,9457925,36857166,36857166,9465100,37666257,37666257,
245652,St. John's College,6150349,30436087,30436087,5295894,23807019,23807019,5436748,30779398,30779398,5306318,18620258,18620258,
195544,St. Joseph's University-New York,68251000,91049000,91049000,72313000,90930000,90930000,81644000,96011000,96011000,19133000,21972000,21972000,
195243,St. Thomas Aquinas College,17852007,23278117,23278117,18953059,44315149,44315149,18521837,34270128,34270128,19151847,32644074,32644074,
179548,Stephens College,8314832,35357937,35357937,8276906,33967859,33967859,8068497,19283977,19283977,9691422,21581997,21581997,
155937,Sterling College,5670131,11543947,11543947,5529264,13538426,13538426,5787105,11890742,11890742,6024730,15998144,15998144,
167996,Stonehill College,47370475,92391149,92391149,52014319,188367426,188367426,53835271,99719064,99719064,53479149,115315012,115315012,
447953,SUM Bible College and Theological Seminary,3287067,6293384,6293384,3602900,6110937,6110937,3890900,6597800,6597800,3720500,5620800,5620800,
216278,Susquehanna University,37361820,67786495,67786495,39560780,116016331,116016331,40841997,73729218,73729218,42986720,86147338,86147338,
233718,Sweet Briar College,4056334,20180388,20180388,3561747,44140448,44140448,4040312,27618819,27618819,3736390,21111298,21111298,
155973,Tabor College,10492012,19767040,19767040,9617537,20832381,20832381,5177218,14783135,14783135,6112158,17445109,17445109,
102298,Talladega College,14658171,45384412,45384412,11122898,39867953,39867953,11568080,27241744,27241744,9925099,23350776,23350776,
137777,Talmudic College of Florida,219020,5007655,5007655,302660,5586474,5586474,309033,3550490,3550490,237104,4544399,4544399,
196440,Talmudical Institute of Upstate New York,57286,1746000,1746000,138000,1343752,1343752,453466,2652799,2652799,492151,1854209,1854209,
152530,Taylor University,31053269,73285000,73285000,32015324,94316000,94316000,33659195,66751000,66751000,34840788,65901000,65901000,
149329,Telshe Yeshiva-Chicago,2624077,13190667,13190667,2206540,5494704,5494704,1882661,5048121,5048121,1944161,4267407,4267407,
221731,Tennessee Wesleyan University,13085319,23263309,23263309,13894792,25928359,25928359,12647691,21228828,21228828,10098338,15836436,15836436,
142294,The College of Idaho,8775070,24236351,24236351,9465201,55396493,55396493,8718339,26941415,26941415,9015669,29368975,29368975,
195234,The College of Saint Rose,28610253,57171196,57171196,36804361,73687080,73687080,40970907,65667273,65667273,41180434,70853663,70853663,
190372,The Cooper Union for the Advancement of Science and Art,12591271,85577067,85577067,11851612,159997762,159997762,13307294,99403759,99403759,13540971,131061969,131061969,
171599,The University of Olivet,9317505,21115912,21115912,10815851,28013813,28013813,11317139,22054782,22054782,11761850,22141101,22141101,
216357,Thiel College,10519585,28099530,28099530,8816447,36820552,36820552,7712714,21009014,21009014,9756307,25239280,25239280,
161563,Thomas College,9011381,17399578,17399578,10272253,32169548,32169548,10494763,22316395,22316395,11645343,23750023,23750023,
157809,Thomas More University,22380084,37201815,37201815,22953899,46460340,46460340,24236089,34937719,34937719,25387234,33871499,33871499,
141167,Thomas University,12400302,17909432,17909432,12060980,18393429,18393429,11442324,14569915,14569915,11703692,14682880,14682880,
141185,Toccoa Falls College,12118009,19177032,19177032,12555978,21011838,21011838,12759014,18655991,18655991,12169515,18135887,18135887,
176406,Tougaloo College,5125168,37768785,37768785,5329259,41366521,41366521,5189195,27676647,27676647,5567191,27485528,27485528,
137953,Trinity Baptist College,4900763,5820342,5820342,3878178,5116644,5116644,3184968,3985266,3985266,3003025,3932565,3932565,
149505,Trinity Christian College,13015089,30842668,30842668,14052696,34492129,34492129,15754387,26899281,26899281,17206062,28795338,28795338,
130590,Trinity College,68774001,159057955,159057955,66819515,334567913,334567913,72223083,146502643,146502643,71800309,176566200,176566200,
135610,Trinity International University-Florida,1327350,1489087,1489087,1376697,1608590,1608590,1843576,1842709,1842709,2343957,2586991,2586991,
229267,Trinity University,49483813,202095271,202095271,50597219,502450720,502450720,52882075,151437123,151437123,48515544,120631258,120631258,
131876,Trinity Washington University,20525295,35152321,35152321,21857751,55642878,55642878,20817777,36152981,36152981,21155467,32563365,32563365,
141237,Truett McConnell University,14114141,23620276,23620276,14716027,25779560,25779560,14795087,21349146,21349146,15467494,22509029,22509029,
221953,Tusculum University,12381875,27381400,27381400,12843597,33204166,33204166,13008639,30603755,30603755,14354502,25144589,25144589,
181738,Union Adventist University,12434054,28803772,28803772,12780922,28652168,28652168,13337721,29490807,29490807,13145562,27222111,27222111,
157863,Union College,10103176,12299575,12299575,11700234,32020587,32020587,12040965,19504789,19504789,13408037,28713364,28713364,
161572,Unity Environmental University,29308066,32810340,32810340,16888703,27001551,27001551,15422472,23187204,23187204,14201025,21811906,21811906,
457402,University of Fort Lauderdale,1545376,3360876,3360876,1069827,2272034,2272034,324174,1158353,1158353,340365,1272045,1272045,
199069,University of Mount Olive,20965277,38329038,38329038,23522597,45817647,45817647,24964927,40206920,40206920,28821173,43044840,43044840,
193399,University of Mount Saint Vincent,48661864,68125463,68125463,48897737,75249765,75249765,38455310,65771713,65771713,35087980,52000800,52000800,
174491,University of Northwestern-St Paul,39292303,97651441,97651441,39543912,92526417,92526417,40324066,84383849,84383849,41845963,85579048,85579048,
180258,University of Providence,10557558,19710377,19710377,10779097,23766121,23766121,9426664,20327278,20327278,9426664,20551680,20551680,
488785,University of Saint Katherine,3937220,5731944,5731944,3844175,4944897,4944897,3295104,3713575,3713575,2686882,3478748,3478748,
216542,University of Valley Forge,5354752,13157918,13157918,5932586,14033428,14033428,6181232,10951491,10951491,6589532,13054161,13054161,
154493,Upper Iowa University,28675962,40884470,40884470,35752429,53871249,53871249,39917573,49411587,49411587,41327980,51250207,51250207,
149639,VanderCook College of Music,4278351,6314172,6314172,4226926,7663811,7663811,4937138,5776400,5776400,4296672,5884989,5884989,
123651,Vanguard University of Southern California,37775989,71393837,71393837,34885185,49482429,49482429,36064276,51796539,51796539,33955693,49658992,49658992,
197133,Vassar College,104666555,44975899,44975899,92898593,493879943,493879943,89598361,172526413,172526413,87126795,246022859,246022859,
234173,Virginia Wesleyan University,17892143,25731534,25731534,19884810,114874858,114874858,21459822,42458670,42458670,21955443,44737136,44737136,
218919,Voorhees University,3787756,24097859,24097859,3578527,38478899,38478899,4892692,15971071,15971071,5079738,14945081,14945081,
138275,Warner University,9863270,20004144,20004144,10943726,25015147,25015147,11503921,22180299,22180299,12021738,19695337,19695337,
199865,Warren Wilson College,10673075,26661610,26661610,9297369,35453519,35453519,11214802,27576992,27576992,11190752,27044881,27044881,
154527,Wartburg College,25385202,49921618,49921618,26511971,79444552,79444552,25651039,56335243,56335243,23602963,52948995,52948995,
216667,Washington & Jefferson College,16860328,29188419,29188419,21235612,78578182,78578182,25428912,44287249,44287249,27310163,56100636,56100636,
162210,Washington Adventist University,9365436,23045652,23045652,13185947,28567311,28567311,12353875,29560575,29560575,14863861,28131442,28131442,
138293,Webber International University,12139197,18624651,18624651,11835117,21160616,21160616,9408400,15411649,15411649,8632885,14306091,14306091,
220206,Welch College,2166418,9717435,9717435,2586477,8740360,8740360,3065453,7511581,7511581,2776200,8281077,8281077,
168227,Wentworth Institute of Technology,84391218,120087316,120087316,86564490,161556052,161556052,92117081,133330332,133330332,91272964,137360137,137360137,
141325,Wesleyan College,6306608,11301543,11301543,6637982,33507206,33507206,6823625,16264788,16264788,6715076,18250342,18250342,
433387,Western Governors University,1007623833,1047241492,1047241492,937823144,1029371233,1029371233,865377333,881284189,881284189,788677230,806169102,806169102,
216807,Westminster College,13148828,37412395,37412395,13579136,67059710,67059710,14164793,30662519,30662519,14581690,42393069,42393069,
