UnitID,Institution Name,Tuition and fees - Total (F2122_F2),Total revenues and investment return - Total (F2122_F2),Net total revenues  after assets released from restriction - Total (F2122_F2),Tuition and fees - Total (F2021_F2),Total revenues and investment return - Total (F2021_F2),Net total revenues  after assets released from restriction - Total (F2021_F2),Tuition and fees - Total (F1920_F2),Total revenues and investment return - Total (F1920_F2),Net total revenues  after assets released from restriction - Total (F1920_F2),Tuition and fees - Total (F1819_F2),Total revenues and investment return - Total (F1819_F2),Net total revenues  after assets released from restriction - Total (F1819_F2),
175430,Blue Mountain Christian University,4679646,13098714,13098714,4876366,16316731,16316731,4799028,11826869,11826869,4073129,12572817,12572817,
231554,Bluefield University,12071668,22128072,22128072,12338563,21241219,21241219,12736449,20419792,20419792,13326510,20962710,20962710,
201371,Bluffton University,6758365,20926187,20926187,6831612,26676973,26676973,7186694,19605044,19605044,7885440,19790643,19790643,
189413,Boricua College,4849830,8096805,8096805,5732193,15573678,15573678,7530100,9924476,9924476,8243541,8977504,8977504,
164872,Boston Architectural College,16695653,17666686,17666686,16471404,22586768,22586768,16290218,17817228,17817228,15024248,17365435,17365435,
156356,Brescia University,7659363,13197731,13197731,8079445,20145532,20145532,8354698,15079764,15079764,8565519,13709011,13709011,
198066,Brevard College,9388793,26699656,26699656,9165494,21927836,21927836,9069195,21114439,21114439,8724231,19246500,19246500,
139205,Brewton-Parker College,5868312,12899825,12899825,5492796,15998755,15998755,5349623,12256730,12256730,5068150,11073912,11073912,
497408,Bridges Christian College,28030,353798,353798,,,,,,,,,,
231581,Bridgewater College,15302781,26258388,26258388,16981801,80170900,80170900,19303988,41682756,41682756,20277648,50260821,50260821,
217165,Bryant University,95387000,159705000,159705000,101722000,212184000,212184000,102117000,152982000,152982000,101106000,165557000,165557000,
210492,Bryn Athyn College of the New Church,3891920,7607843,7607843,4134754,25334442,25334442,4590923,9404471,9404471,4443396,28371365,28371365,
211291,Bucknell University,143949000,230524000,230524000,143399000,520997000,520997000,146818000,214291000,214291000,137957000,262096000,262096000,
153001,Buena Vista University,22610229,30711889,30711889,21299288,72086821,72086821,22003628,37657996,37657996,23257252,42598547,42598547,
209409,Bushnell University,8926236,27777586,27777586,7701383,23780453,23780453,9273773,16010384,16010384,9133631,17767774,17767774,
215114,Cairn University-Langhorne,12042036,23828355,23828355,12634832,28983323,28983323,12838054,22134352,22134352,9790000,19771979,19771979,
110370,California College of the Arts,48001000,70020000,70020000,47535000,85953000,85953000,62702000,91089000,91089000,63826000,87579000,87579000,
150172,Calumet College of Saint Joseph,7519430,14410774,14410774,8349656,14093191,14093191,8165268,11543959,11543959,8293268,10126210,10126210,
169080,Calvin University,49587000,106707000,106707000,55301000,159182000,159182000,61143000,152956000,152956000,65715000,136318000,136318000,
189705,Canisius University,39006601,74636112,74636112,43040458,107760458,107760458,45303973,72506369,72506369,48556612,72296754,72296754,
461032,Carolina College of Biblical Studies,790058,1352334,1352334,802207,1421933,1421933,966364,1488421,1488421,1057362,1522611,1522611,
180106,Carroll College,18063224,33597998,33597998,16982878,53970071,53970071,18945938,38749938,38749938,20356671,40322855,40322855,
238476,Carthage College,41387667,51842558,51842558,41102067,113469479,113469479,44261442,75232960,75232960,46699165,84067029,84067029,
198215,Catawba College,27310835,257103787,257103787,28040428,110640825,110640825,29902019,69921240,69921240,29367867,75782622,75782622,
475398,Catholic Distance University,962660,1891593,1891593,1086900,2048084,2048084,1044926,1766517,1766517,1020020,1726303,1726303,
158477,Centenary College of Louisiana,6511670,14898498,14898498,6856203,55662181,55662181,6660792,18240528,18240528,7009486,22689839,22689839,
154855,Central Christian College of Kansas,5319900,10311417,10311417,6001561,11643070,11643070,6457618,12944948,12944948,7489132,13430327,13430327,
176910,Central Christian College of the Bible,851753,5210604,5210604,891280,9912777,9912777,1034535,5644445,5644445,1077850,4593908,4593908,
445267,Central Methodist University-College of Graduate and Extended Studies,,,,,,,,,,,,,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,5311674,9292591,9292591,5179062,7101970,7101970,4172721,5206248,5206248,3482392,4296396,4296396,
230852,Champlain College,52521454,77160644,77160644,57559135,93944631,93944631,62910679,85550889,85550889,64398479,93687700,93687700,
198303,Chowan University,8694515,21224184,21224184,11392312,27242041,27242041,12222674,26665761,26665761,14522387,30241158,30241158,
219833,Christian Brothers University,24282730,39366602,39366602,22136039,52519341,52519341,25293155,50884219,50884219,24619552,38576743,38576743,
457697,City Vision University,484116,655568,655568,359300,443548,443548,300968,389367,389367,261958,456828,456828,
217873,Claflin University,28556094,74483926,74483926,29672529,112220942,112220942,27222286,53470118,53470118,26335133,52364712,52364712,
112260,Claremont McKenna College,51599000,183569000,183569000,45411000,511985000,511985000,49019000,272333000,272333000,47947000,193264000,193264000,
156417,Clear Creek Baptist Bible College,557412,1790386,1790386,515665,5817493,5817493,415402,3320500,3320500,477130,3214784,3214784,
169327,Cleary University,8258821,10792790,10792790,6902245,11852348,11852348,6696650,10479622,10479622,6653944,13290791,13290791,
190099,Colgate University,157723521,214513722,214513722,145150869,570567810,570567810,118766274,230781674,230781674,137134334,274619063,274619063,
169442,College for Creative Studies,35124933,46289103,46289103,35083994,83890686,83890686,37074599,53142794,53142794,34341290,59053322,59053322,
160959,College of the Atlantic,15256003,12463658,12463658,15022063,48428311,48428311,14523996,30606110,30606110,13645437,39504154,39504154,
126678,Colorado College,90273612,96360996,96360996,75354590,324084368,324084368,87815715,208473772,208473772,85611161,204508288,204508288,
177065,Columbia College,47558694,62349893,62349893,59166532,121013303,121013303,69670542,77385130,77385130,79987949,97544653,97544653,
217934,Columbia College,16609989,22070894,22070894,14649915,28869443,28869443,14188083,25084504,25084504,14594487,22267372,22267372,
144281,Columbia College Chicago,108281139,119941224,119941224,110367287,195250594,195250594,129373990,189751154,189751154,139563645,179353531,179353531,
202170,Columbus College of Art & Design,19584264,30930521,30930521,17579346,24992683,24992683,21753467,29093617,29093617,21747258,29615489,29615489,
173300,Concordia College at Moorhead,28547598,67040576,67040576,33113395,107760094,107760094,35761298,88705894,88705894,37325485,98422712,98422712,
169363,Concordia University Ann Arbor,,,,,,,,,,,,,
180984,Concordia University-Nebraska,19716867,35984069,35984069,28240672,69593846,69593846,21122478,44150717,44150717,19656439,41139583,41139583,
153162,Cornell College,16470258,34046688,34046688,16776843,66040778,66040778,16384869,47346777,47346777,16621967,40613755,40613755,
139393,Covenant College,13528319,26999631,26999631,13219181,43128561,43128561,14102280,32294415,32294415,14984956,35740135,35740135,
475608,Criswell College,1046436,4923805,4923805,1385029,11609966,11609966,1557400,8252366,8252366,1559801,6480211,6480211,
174862,Crown College,13091521,18375714,18375714,13388738,22372321,22372321,12706728,18513983,18513983,13518013,19229037,19229037,
177144,Culver-Stockton College,10120575,16651405,16651405,10335077,34347511,34347511,10707249,21225517,21225517,11080850,21807444,21807444,
219949,Cumberland University,17816715,36194493,36194493,17497588,36612631,36612631,16398525,30263122,30263122,16407254,29629326,29629326,
165529,Curry College,40458545,62999917,62999917,43392854,97157817,97157817,46135835,72105537,72105537,46297425,70014429,70014429,
211893,Curtis Institute of Music,998712,51150758,51150758,607987,30459722,30459722,745421,20583474,20583474,748054,21594864,21594864,
219091,Dakota Wesleyan University,10032590,15337557,15337557,9743013,27126915,27126915,9201269,21863118,21863118,9194990,16556427,16556427,
224244,Dallas Christian College,2522572,5401490,5401490,2068070,4290420,4290420,2254784,4114900,4114900,2424765,4110206,4110206,
169479,Davenport University,65151588,93718339,93718339,72429228,96173210,96173210,75769269,91553408,91553408,77052929,92359404,92359404,
202514,Defiance College,6746912,10710772,10710772,6818108,19548222,19548222,6983961,14254525,14254525,7768726,13930352,13930352,
212009,Dickinson College,53733608,122476826,122476826,49633410,256343105,256343105,60511446,113254934,113254934,67214510,147868941,147868941,
158802,Dillard University,8924636,34341847,34341847,9628046,59120673,59120673,11402064,31778058,31778058,11617089,44020917,44020917,
153250,Dordt University,23291972,52205272,52205272,21181460,75123485,75123485,21511530,48258819,48258819,21550058,48733478,48733478,
177214,Drury University,16510071,32538999,32538999,17844671,56675945,56675945,18799725,39753105,39753105,19920643,43244944,43244944,
150455,Earlham College,7169080,6206905,6206905,8613425,154826796,154826796,10360046,22064639,22064639,11710966,50840658,50840658,
224527,East Texas Baptist University,16627464,45154158,45154158,16432073,36796487,36796487,18601426,41706804,41706804,18672055,37729308,37729308,
165644,Eastern Nazarene College,5771829,21653509,21653509,6515049,24054896,24054896,6309520,15872656,15872656,7144528,17497846,17497846,
446233,Ecclesia College,1202760,2626410,2626410,1706669,2820479,2820479,1788359,2372481,2372481,1772973,2310567,2310567,
133526,Edward Waters University,14342310,43410931,43410931,12547568,37893857,37893857,11147498,27017098,27017098,10981882,23490031,23490031,
190983,Elmira College,10428958,21162077,21162077,11256585,28730628,28730628,13336138,25817688,25817688,15450020,30254218,30254218,
104586,Embry-Riddle Aeronautical University-Prescott,93028000,112623000,112623000,86298000,115374000,115374000,74292000,89475000,89475000,73395000,89458000,89458000,
426314,Embry-Riddle Aeronautical University-Worldwide,91494000,91500000,91500000,104393000,118944000,118944000,102509000,106446000,106446000,91421000,96058000,96058000,
165662,Emerson College,176955108,230982416,230982416,153189021,292839854,292839854,163967284,228063536,228063536,152180631,219293402,219293402,
165671,Emmanuel College,32583151,50278120,50278120,33882001,93085123,93085123,37201518,81761344,81761344,36399220,87017452,87017452,
139630,Emmanuel University,8238593,19297899,19297899,8541850,18103899,18103899,9106733,16019676,16019676,8907500,16021223,16021223,
385619,Everglades University,40274380,44045197,44045197,35451792,36551110,36551110,31815745,33364514,33364514,31283094,33002046,33002046,
232089,Ferrum College,11836310,23265582,23265582,12997897,43928635,43928635,13448183,29192712,29192712,14751999,32572260,32572260,
165802,Fisher College,15935681,14321096,14321096,16388191,36640508,36640508,17186351,22576338,22576338,18597083,25708721,25708721,
220181,Fisk University,8131760,41880127,41880127,8772834,46424119,46424119,7986872,57001969,57001969,6322415,35607831,35607831,
133711,Flagler College,36423867,84260816,84260816,35452983,80465040,80465040,38497177,61380218,61380218,39359857,65792197,65792197,
480569,Florida Institute of Technology-Online,8644032,8644032,8644032,9373460,9373460,9373460,10266557,10285788,10285788,12047530,12096699,12096699,
133979,Florida Memorial University,16350038,44058772,44058772,14434451,44767756,44767756,16297707,74492333,74492333,16400996,34871076,34871076,
205957,Franciscan University of Steubenville,41956358,108161982,108161982,37086745,103402390,103402390,39741733,96081410,96081410,40272994,74063492,74063492,
150604,Franklin College,13431991,14924261,14924261,14039828,54290960,54290960,13311956,21436868,21436868,13686974,27044798,27044798,
114813,Fresno Pacific University,44788498,70411290,70411290,52553823,72171971,72171971,55111035,72955299,72955299,54031017,69061895,69061895,
218070,Furman University,56240830,134625950,134625950,59303108,389344750,389344750,71972522,130276397,130276397,67590937,153164594,153164594,
212656,Geneva College,16781473,35014076,35014076,17779603,46135837,46135837,18450961,40736528,40736528,19143972,35081787,35081787,
156745,Georgetown College,10091071,25694968,25694968,10537924,41932930,41932930,11396354,30166195,30166195,12743510,29213728,29213728,
212674,Gettysburg College,58936425,128440317,128440317,59283815,196891138,196891138,76122553,122360196,122360196,77665174,136208543,136208543,
230889,Goddard College,6647790,8839756,8839756,5868080,7581659,7581659,5944853,8407875,8407875,6743257,8532220,8532220,
202903,Gods Bible School and College,1356938,7979845,7979845,1021705,5971962,5971962,1332516,4867398,4867398,1179297,5057388,5057388,
165936,Gordon College,24975815,39490491,39490491,28128085,72705341,72705341,31754327,63318728,63318728,32653650,115795731,115795731,
162654,Goucher College,23566000,48758000,48758000,27675000,128653000,128653000,26697000,53923000,53923000,28108000,63756000,63756000,
170000,Grace Christian University,5909330,13392384,13392384,6277366,12910470,12910470,8966597,13607077,13607077,6576392,15524188,15524188,
153375,Grand View University,19568632,42624731,42624731,21657125,45370441,45370441,23023402,35804111,35804111,23184608,36233519,36233519,
198598,Greensboro College,8297144,16230837,16230837,8867374,25163517,25163517,9608549,17531802,17531802,10736631,19327536,19327536,
145372,Greenville University,10713204,28680888,28680888,11138900,33400119,33400119,12177906,29470303,29470303,12873411,24783364,24783364,
198613,Guilford College,15009965,41941852,41941852,17594999,74592051,74592051,19006791,44387864,44387864,19092864,42858142,42858142,
225201,Hallmark University,17329193,20285288,20285288,18081297,19547014,19547014,15557866,16645751,16645751,14548606,15692348,15692348,
177542,Hannibal-LaGrange University,5830528,15360281,15360281,5714697,15383172,15383172,6761047,11585502,11585502,8158277,14662289,14662289,
191533,Hartwick College,24479483,37014067,37014067,24421147,67135686,67135686,25773116,36907062,36907062,25834981,44205928,44205928,
181127,Hastings College,9159548,20476026,20476026,9790331,44862763,44862763,9774600,23163564,23163564,9190058,27728144,27728144,
203085,Heidelberg University,13319058,40581212,40581212,14019313,55539282,55539282,15537947,33025472,33025472,15369494,37280802,37280802,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,2167009,17501852,17501852,1826057,19517844,19517844,1282049,14415917,14415917,1873542,11429622,11429622,
107080,Hendrix College,10866998,34192137,34192137,11986710,104437618,104437618,12516972,35201539,35201539,14420956,35254392,35254392,
198677,Heritage Bible College,231726,460247,460247,253636,411189,411189,311451,469040,469040,153126,393941,393941,
101453,Heritage Christian University,383659,3067142,3067142,893150,7201618,7201618,817141,4280862,4280862,239792,5817221,5817221,
235422,Heritage University,11287100,21839008,21839008,15636985,39279600,39279600,14190286,22997206,22997206,14602960,24073049,24073049,
459842,Herzing University-Kenosha,11257955,11714479,11714479,11964962,12391914,12391914,9796185,10115116,10115116,5972943,6142226,6142226,
174154,Herzing University-Minneapolis,12327994,12844720,12844720,10658021,11033025,11033025,9341055,9633182,9633182,6875953,7030959,7030959,
433536,Herzing University-New Orleans,5360132,5430867,5430867,6021274,6083845,6083845,6227067,6268760,6268760,6302039,6336390,6336390,
191621,Hilbert College,9078728,15077175,15077175,10069781,20319790,20319790,10323918,13385708,13385708,10018631,13058276,13058276,
203128,Hiram College,12366201,23168336,23168336,12828167,44903442,44903442,14974570,30746407,30746407,14601198,31542209,31542209,
191630,Hobart William Smith Colleges,39036579,52105653,52105653,45283589,174142630,174142630,57563858,99684602,99684602,58768261,105242631,105242631,
134510,Hobe Sound Bible College,870478,6139509,6139509,828157,5073601,5073601,1006183,4163946,4163946,1077039,4861638,4861638,
367884,Hodges University,11183979,15076355,15076355,12343341,16523630,16523630,15982858,19920357,19920357,17908556,19558895,19558895,
232308,Hollins University,7519317,82963937,82963937,7911043,85642121,85642121,7730170,22764540,22764540,8737631,31521539,31521539,
129534,Holy Apostles College and Seminary,3561613,5467346,5467346,3347399,6428580,6428580,3236284,4280122,4280122,2695388,3565463,3565463,
191676,Houghton University,11429869,22231586,22231586,13320791,52712908,52712908,13998798,33977548,33977548,14296468,30265361,30265361,
225548,Howard Payne University,9119269,25555149,25555149,9261549,31310605,31310605,10458487,29046621,29046621,11129939,17782176,17782176,
164368,Hult International Business School,66957335,69300068,69300068,109630721,115955630,115955630,122093941,124434011,124434011,91232264,96807823,96807823,
101435,Huntingdon College,11495206,22101081,22101081,11496855,35997787,35997787,12068260,23808475,23808475,12136759,23333211,23333211,
225575,Huston-Tillotson University,14362782,39362145,39362145,13061861,50797744,50797744,13672220,29238931,29238931,12373064,23062995,23062995,
145691,Illinois College,13429750,29311523,29311523,14280151,64520238,64520238,12839587,29871433,29871433,12194241,27056722,27056722,
191931,Iona University,68917000,103840000,103840000,69679000,150952000,150952000,70368000,104378000,104378000,73682000,119940000,119940000,
225885,Jarvis Christian University,7249560,27396100,27396100,6608757,41873735,41873735,8082685,17815456,17815456,8435983,20805629,20805629,
107141,John Brown University,20037266,40290319,40290319,20850761,95552757,95552757,21742497,49400594,49400594,23488853,55512669,55512669,
203368,John Carroll University,51181820,72115263,72115263,52804330,156663561,156663561,53609821,96838385,96838385,53673859,92444127,92444127,
198756,Johnson C Smith University,13481637,114950230,114950230,14561495,55648452,55648452,18144123,48890136,48890136,18471523,43519991,43519991,
213251,Juniata College,21857165,42866381,42866381,24039422,80788566,80788566,23231940,48226013,48226013,24418032,49304970,49304970,
155308,Kansas Christian College,1883904,4959697,4959697,759958,3337715,3337715,603983,2757560,2757560,639560,2708418,2708418,
155414,Kansas Wesleyan University,9490627,22642294,22642294,10029853,32510916,32510916,9064932,21002528,21002528,9121804,18825627,18825627,
157100,Kentucky Christian University,2251774,12919564,12919564,2011434,15348701,15348701,3889011,11539457,11539457,4558646,12621337,12621337,
169983,Kettering University,39654078,54419394,54419394,44578024,99258424,99258424,49664397,62754368,62754368,51205473,84892868,84892868,
192192,Keuka College,18487215,32356198,32356198,21478906,39809857,39809857,24454329,42615351,42615351,25750680,41106055,41106055,
213303,Keystone College,13196831,25898621,25898621,14348317,28305896,28305896,15730508,27755842,27755842,16731513,25411559,25411559,
171881,Kuyper College,1391606,4664355,4664355,1844347,7321569,7321569,1703422,5844200,5844200,2066286,6216728,6216728,
140234,LaGrange College,9676294,21651504,21651504,12231509,39946240,39946240,14989260,32071081,32071081,15531455,37917476,37917476,
117168,Laguna College of Art and Design,17015244,19463503,19463503,16342906,22424649,22424649,17810599,21532633,21532633,16846558,18469246,18469246,
203580,Lake Erie College,9780331,17705708,17705708,10656455,31272218,31272218,11557360,20993348,20993348,10816315,19175321,19175321,
146481,Lake Forest College,26347042,60752664,60752664,24599122,77653759,77653759,27239823,61677435,61677435,26897927,64064942,64064942,
238980,Lakeland University,23180322,33732401,33732401,20689212,43726068,43726068,22022009,30832705,30832705,21455422,38664784,38664784,
166391,Lasell University,30003818,46010192,46010192,32693798,61217150,61217150,37215518,54813020,54813020,37756228,62317030,62317030,
198808,Lees-McRae College,7827697,27400916,27400916,7200708,20760337,20760337,7063383,20946594,20946594,8319568,18810628,18810628,
226231,LeTourneau University,34250770,55199763,55199763,33789436,60483900,60483900,33625736,48959211,48959211,32977337,48504750,48504750,
117104,Life Pacific University,5965544,12292414,12292414,6399139,14118340,14118340,6098220,13685232,13685232,5966383,9582478,9582478,
218238,Limestone University,20118553,37776215,37776215,22106656,40878236,40878236,24511593,38754703,38754703,26951952,38506319,38506319,
209065,Linfield University,38632059,48699736,48699736,39872955,87501519,87501519,39951508,79483568,79483568,38896138,68511406,68511406,
198862,Livingstone College,10548514,36889564,36889564,11860079,37897711,37897711,15160689,34086523,34086523,15854814,31055306,31055306,
153825,Loras College,17213023,44712094,44712094,17774096,49123751,49123751,19667350,41071538,41071538,19923968,45108987,45108987,
474863,Los Angeles Pacific University,19945125,20960858,20960858,20925756,22023408,22023408,21025718,21198466,21198466,23742599,23955181,23955181,
159568,Louisiana Christian University,9833461,21142787,21142787,10644518,34877056,34877056,11504198,24395529,24395529,11547306,25139571,25139571,
106342,Lyon College,5715541,21829941,21829941,5409307,19931054,19931054,6055753,69367080,69367080,6022180,17355970,17355970,
161509,Maine College of Art & Design,9745587,19258111,19258111,8517117,21928303,21928303,9937812,16510261,16510261,9154567,15980657,15980657,
203775,Malone University,13360244,23130587,23130587,14951131,32786120,32786120,17544331,26994813,26994813,18061456,30268536,30268536,
192703,Manhattan College,77634641,122109831,122109831,83359997,163320619,163320619,88627232,146791770,146791770,88363056,153990150,153990150,
239080,Marian University,17653411,27959616,27959616,19789239,42462167,42462167,19915593,27550728,27550728,20603384,32302422,32302422,
203845,Marietta College,15187965,29846613,29846613,15531000,66626200,66626200,15550705,41864144,41864144,16983101,44792558,44792558,
198899,Mars Hill University,11726441,37221627,37221627,13106756,47981911,47981911,12039781,40824110,40824110,12330105,34238917,34238917,
173452,Martin Luther College,12216219,29142872,29142872,11748751,38141396,38141396,11647063,24562424,24562424,12809836,22350764,22350764,
151810,Martin University,1996981,6429253,6429253,2596552,6502852,6502852,2426779,5498947,5498947,2722487,4569979,4569979,
163295,Maryland Institute College of Art,63218409,82323672,82323672,50383861,89943426,89943426,68935086,99785677,99785677,66495796,91952540,91952540,
220710,Maryville College,14536816,24695698,24695698,14352919,62083663,62083663,15442852,36865237,36865237,12929879,34044956,34044956,
164270,McDaniel College,32125000,53212000,53212000,34939000,109633000,109633000,33119000,61342000,61342000,30825000,64666000,64666000,
226587,McMurry University,13146567,37350230,37350230,13623942,43159319,43159319,15109387,35130501,35130501,15044963,31505443,31505443,
155511,McPherson College,8466169,43109233,43109233,8370901,33023405,33023405,8445167,22763108,22763108,8226051,19760673,19760673,
118693,Menlo College,13312299,45111218,45111218,14825255,36797095,36797095,15006386,28314943,28314943,13424701,26797768,26797768,
153977,Mercy College of Health Sciences,19744699,20283000,20283000,18495019,23773000,23773000,17893846,19610490,19610490,14868254,16294055,16294055,
213987,Mercyhurst University,45080569,96292459,96292459,48623925,103290769,103290769,42645687,80814113,80814113,39437494,89525582,89525582,
198950,Meredith College,30807409,38992124,38992124,33385440,82814121,82814121,33750476,63196139,63196139,35321456,58488041,58488041,
166850,Merrimack College,102981318,162127048,162127048,107427557,177128750,177128750,104098732,146516193,146516193,90548391,141652209,141652209,
147129,Methodist College,11205230,12641430,12641430,12350574,14231553,14231553,12119189,12344970,12344970,12794701,13217114,13217114,
190114,Metropolitan College of New York,16373065,26817734,26817734,21137455,27676387,27676387,23499305,28978422,28978422,24746958,27468732,27468732,
245953,Mid-America Christian University,17063497,30531031,30531031,16616145,28654280,28654280,15995426,27082014,27082014,17372620,27397813,27397813,
155520,MidAmerica Nazarene University,22299330,35839123,35839123,22673405,38749658,38749658,21489851,40304663,40304663,22101000,38790083,38790083,
157377,Midway University,14575735,17606866,17606866,14256621,30510536,30510536,14090673,20521912,20521912,13540965,21143712,21143712,
480985,Midwives College of Utah,1226016,1692177,1692177,1020372,1673191,1673191,916105,1302062,1302062,878770,1318072,1318072,
175980,Millsaps College,9720856,24804129,24804129,9584138,65864854,65864854,12454253,32645110,32645110,11613910,40430863,40430863,
239318,Milwaukee School of Engineering,43214881,70771870,70771870,41969058,118201768,118201768,42426737,93726756,93726756,42353421,87977380,87977380,
174127,Minneapolis College of Art and Design,15015461,31006754,31006754,14315845,34018828,34018828,15623030,24025712,24025712,16230532,22034694,22034694,
176664,Mission University,2086427,5838798,5838798,2122839,5042192,5042192,2158120,4408154,4408154,2292543,4716435,4716435,
178369,Missouri Valley College,12292918,22339038,22339038,12869567,27358648,27358648,13537468,23727119,23727119,10970436,21880568,21880568,
199032,Montreat College,11682034,47543938,47543938,11209658,30747203,30747203,10165982,19261778,19261778,9388182,19800406,19800406,
214148,Moore College of Art and Design,10671485,12649376,12649376,10743895,28150327,28150327,10997200,19029014,19029014,10729882,22375788,22375788,
214166,Mount Aloysius College,16580655,17565161,17565161,17837525,50448418,50448418,18379073,25308292,25308292,18803771,29571472,29571472,
166939,Mount Holyoke College,61095228,86022264,86022264,55786375,420063579,420063579,59541961,140210673,140210673,56748175,170186029,170186029,
193353,Mount Saint Mary College,31314287,32757684,32757684,29739936,70996188,70996188,35088959,59195764,59195764,36795756,59182805,59182805,
163462,Mount St. Mary's University,36614236,89282946,89282946,38893040,72231892,72231892,37521243,64729485,64729485,37576582,71869519,71869519,
204194,Mount Vernon Nazarene University,18626916,35107269,35107269,20487527,47732120,47732120,20782752,37226842,37226842,20617834,39216053,39216053,
214175,Muhlenberg College,47024661,67681747,67681747,53110973,160673526,160673526,59698060,98710759,98710759,63414790,110800810,110800810,
127653,Naropa University,17904964,25929929,25929929,16653970,27744410,27744410,16430878,23735635,23735635,16811151,20600083,20600083,
181446,Nebraska Wesleyan University,26910000,43537000,43537000,27590142,62131000,62131000,28535000,44669000,44669000,28628000,44421000,44421000,
194116,New York School of Interior Design,17062279,12051018,12051018,15677341,26206915,26206915,15059289,20241587,20241587,13517650,16113146,16113146,
218414,Newberry College,13948223,39386888,39386888,15323967,36611175,36611175,14787324,36422207,36422207,14114269,31661235,31661235,
167260,Nichols College,21171264,33134027,33134027,22681306,48254416,48254416,23356680,46042973,46042973,22776054,41780006,41780006,
461795,North American University,6930105,13420447,13420447,6777662,12287797,12287797,5318574,13183278,13183278,4505495,11389421,11389421,
199209,North Carolina Wesleyan University,15164889,35242718,35242718,17924487,38914151,38914151,18745843,40469018,40469018,17910166,30574403,30574403,
174437,North Central University,11790056,24871810,24871810,12810394,28397083,28397083,13349270,28458204,28458204,13207388,24745075,24745075,
118888,Northeastern University Oakland,,,,15628596,94996508,94996508,19426275,59093400,59093400,21590104,59793709,59793709,
217606,Northpoint Bible College,1797876,4938021,4938021,2709534,6242023,6242023,2896447,6757041,6757041,3074483,6957469,6957469,
487603,Northwest University-Center for Online and Extended Education,4675974,4823974,4823974,5120000,5147738,5147738,5496000,5516000,5516000,5857529,5892619,5892619,
154101,Northwestern College,18350084,31221358,31221358,16853710,55669817,55669817,15342622,31771987,31771987,13910048,30777811,30777811,
230995,Norwich University,47916000,79745000,79745000,56920000,237606000,237606000,53865000,121818000,121818000,54946000,117157000,117157000,
101912,Oakwood University,17620690,54456136,54456136,18229391,61654689,61654689,21999794,58363294,58363294,23316539,57079560,57079560,
204501,Oberlin College,96790071,143176967,143176967,71570914,540777300,540777300,87260272,211606241,211606241,86626797,227028208,227028208,
120254,Occidental College,67587797,137395810,137395810,53175300,242581449,242581449,66263311,120405897,120405897,60458590,147191261,147191261,
