"unitid","institution name","year","DRVEF122022_RV.Total 12-month unduplicated headcount","SAL2022_NIS.Full-time non-instructional staff - number","DRVOM2022_RV.Percent full-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 8 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 8 years"
"154350","Simpson College","2022","1340","154","64","70","71","45","45","45"
"154493","Upper Iowa University","2022","6728","234","19","24","25","8","14","18"
"154527","Wartburg College","2022","1607","235","67","69","69","0","0","0"
"154590","William Penn University","2022","1515","94","25","36","36","33","33","33"
"154712","Benedictine College","2022","2425","181","52","66","66","0","0","0"
"154855","Central Christian College of Kansas","2022","699","50","12","20","21","0","0","0"
"155070","Barclay College","2022","262","27","24","40","40","0","0","0"
"155308","Kansas Christian College","2022","194","23","0","0","0","0","0","0"
"155414","Kansas Wesleyan University","2022","883","117","38","47","48","0","25","25"
"155511","McPherson College","2022","863","94","31","38","39","0","0","0"
"155520","MidAmerica Nazarene University","2022","1856","178","40","47","48","38","38","38"
"155937","Sterling College","2022","755","72","40","48","48",,,
"155973","Tabor College","2022","797","84","42","42","42",,,
"156213","Asbury University","2022","1861","200","52","63","64","0","0","0"
"156356","Brescia University","2022","937","86","28","38","39","50","50","50"
"156417","Clear Creek Baptist Bible College","2022","189","21","18","27","27","0","0","0"
"156745","Georgetown College","2022","1756","111","49","56","56","0","0","0"
"157100","Kentucky Christian University","2022","785","70","28","35","35","0","0","0"
"157377","Midway University","2022","1616","76","48","50","50","25","25","25"
"157809","Thomas More University","2022","2269","112","29","41","42",,,
"157863","Union College","2022","1215","98","23","34","34","0","0","50"
"158477","Centenary College of Louisiana","2022","559","106","49","56","57","0","0","0"
"158802","Dillard University","2022","1255","197","32","49","50",,,
"159568","Louisiana Christian University","2022","1345","97","21","32","32","0","0","0"
"160959","College of the Atlantic","2022","419","51","53","66","66",,,
"161509","Maine College of Art & Design","2022","523","68","44","49","49","0","0","0"
"161518","Saint Joseph's College of Maine","2022","2164","159","60","62","62",,,
"161563","Thomas College","2022","1587","100","43","50","51","0","20","20"
"161572","Unity Environmental University","2022","4910","136","40","48","51","50","50","50"
"162210","Washington Adventist University","2022","919","83","19","39","42",,,
"162654","Goucher College","2022","3163","223","58","66","67","50","100","100"
"163295","Maryland Institute College of Art","2022","2505","299","64","73","74",,,
"163462","Mount St. Mary's University","2022","2806","317","58","63","63",,,
"163976","St. John's College","2022","610","100","63","65","65",,,
"164270","McDaniel College","2022","3625","257","53","62","63","0","0","0"
"164368","Hult International Business School","2022","2629","109","63","71","71",,,
"164492","Anna Maria College","2022","1842","92","42","49","50",,,
"164562","Assumption University","2022","2446","174","70","73","73","50","50","50"
"164580","Babson College","2022","4256","608","91","95","95",,,
"164748","Berklee College of Music","2022","9314","743","50","64","66","14","29","32"
"164872","Boston Architectural College","2022","923","68","3","27","41",,,
"165529","Curry College","2022","2609","178","49","55","55","54","54","61"
"165644","Eastern Nazarene College","2022","736","77","22","38","39","0","0","0"
"165662","Emerson College","2022","6368","547","74","78","78",,,
"165671","Emmanuel College","2022","2121","171","56","62","62",,,
"165802","Fisher College","2022","2390","94","26","35","36","29","30","35"
"165936","Gordon College","2022","2233","272","64","71","72","0","50","50"
"166054","Hellenic College-Holy Cross Greek Orthodox School of Theology","2022","136","45","45","45","55",,,
"166391","Lasell University","2022","2057","185","57","63","63","0","0","0"
"166850","Merrimack College","2022","6665","402","68","73","73",,,
"166939","Mount Holyoke College","2022","2600","595","78","84","85",,,
"167260","Nichols College","2022","1596","124","51","54","54","100","100","100"
"167996","Stonehill College","2022","2531","338","74","82","83",,,
"168227","Wentworth Institute of Technology","2022","4930","366","54","69","70","15","32","43"
"168342","Williams College","2022","2277","761","89","96","96",,,
"168528","Adrian College","2022","1925","199","44","54","54","0","0","0"
"168591","Alma College","2022","1385","154","60","71","72",,,
"168786","Aquinas College","2022","1467","156","41","64","66","0","33","33"
