"unitid","institution name","year","OM2022.Cohort category","OM2022_RV.Adjusted 2014-15 cohort","IDX_OM"
"195234","The College of Saint Rose","2022","Total entering, Total","846","-2"
"195243","St. Thomas Aquinas College","2022","Total entering, Total","365","-2"
"195304","Sarah Lawrence College","2022","Total entering, Total","395","-2"
"195438","Sh'or Yoshuv Rabbinical College","2022","Total entering, Total","41","-2"
"195474","Siena College","2022","Total entering, Total","910","-2"
"195544","St. Joseph's University-New York","2022","Total entering, Total","1231","-2"
"196440","Talmudical Institute of Upstate New York","2022","Total entering, Total","5","-2"
"197133","Vassar College","2022","Total entering, Total","676","-2"
"197692","Yeshivath Shaar Hatorah","2022","Total entering, Total","66","-2"
"197911","Barton College","2022","Total entering, Total","355","-2"
"197984","Belmont Abbey College","2022","Total entering, Total","500","-2"
"198066","Brevard College","2022","Total entering, Total","307","-2"
"198215","Catawba College","2022","Total entering, Total","522","-2"
"198303","Chowan University","2022","Total entering, Total","659","-2"
"198598","Greensboro College","2022","Total entering, Total","248","-2"
"198613","Guilford College","2022","Total entering, Total","516","-2"
"198677","Heritage Bible College","2022","Total entering, Total","29","-2"
"198756","Johnson C Smith University","2022","Total entering, Total","418","-2"
"198808","Lees-McRae College","2022","Total entering, Total","484","-2"
"198862","Livingstone College","2022","Total entering, Total","578","-2"
"198899","Mars Hill University","2022","Total entering, Total","560","-2"
"198950","Meredith College","2022","Total entering, Total","580","-2"
"199032","Montreat College","2022","Total entering, Total","265","-2"
"199069","University of Mount Olive","2022","Total entering, Total","1301","-2"
"199209","North Carolina Wesleyan University","2022","Total entering, Total","2295","-2"
"199306","Pfeiffer University","2022","Total entering, Total","357","-2"
"199412","Queens University of Charlotte","2022","Total entering, Total","583","-2"
"199582","Saint Augustine's University","2022","Total entering, Total","1101","-2"
"199607","Salem College","2022","Total entering, Total","322","-2"
"199643","Shaw University","2022","Total entering, Total","658","-2"
"199698","St. Andrews University","2022","Total entering, Total","273","-2"
"199865","Warren Wilson College","2022","Total entering, Total","307","-2"
"201061","Art Academy of Cincinnati","2022","Total entering, Total","74","-2"
"201195","Baldwin Wallace University","2022","Total entering, Total","1019","-2"
"201371","Bluffton University","2022","Total entering, Total","281","-2"
"201964","Ohio Christian University","2022","Total entering, Total","2281","-2"
"202170","Columbus College of Art & Design","2022","Total entering, Total","339","-2"
"202514","Defiance College","2022","Total entering, Total","304","-2"
"202903","Gods Bible School and College","2022","Total entering, Total","70","-2"
"203085","Heidelberg University","2022","Total entering, Total","414","-2"
"203128","Hiram College","2022","Total entering, Total","412","-2"
"203368","John Carroll University","2022","Total entering, Total","918","-2"
"203580","Lake Erie College","2022","Total entering, Total","230","-2"
"203775","Malone University","2022","Total entering, Total","504","-2"
"203845","Marietta College","2022","Total entering, Total","414","-2"
"204194","Mount Vernon Nazarene University","2022","Total entering, Total","504","-2"
"204501","Oberlin College","2022","Total entering, Total","828","-2"
"204617","Ohio Dominican University","2022","Total entering, Total","380","-2"
"205027","Pontifical College Josephinum","2022","Total entering, Total","52","-2"
"205957","Franciscan University of Steubenville","2022","Total entering, Total","613","-2"
"206491","Wilberforce University","2022","Total entering, Total","109","-2"
"206507","Wilmington College","2022","Total entering, Total","526","-2"
"206525","Wittenberg University","2022","Total entering, Total","573","-2"
"207157","Randall University","2022","Total entering, Total","120","-2"
"207324","Oklahoma Christian University","2022","Total entering, Total","659","-2"
"207403","Oklahoma Baptist University","2022","Total entering, Total","616","-2"
"207856","Southwestern Christian University","2022","Total entering, Total","389","-2"
"209065","Linfield University","2022","Total entering, Total","829","-2"
"209409","Bushnell University","2022","Total entering, Total","229","-2"
"209603","Pacific Northwest College of Art","2022","Total entering, Total","163","-2"
"209922","Reed College","2022","Total entering, Total","369","-2"
"210492","Bryn Athyn College of the New Church","2022","Total entering, Total","108","-2"
"210571","Albright College","2022","Total entering, Total","820","-2"
"211291","Bucknell University","2022","Total entering, Total","971","-2"
"211893","Curtis Institute of Music","2022","Total entering, Total","28","-2"
"212009","Dickinson College","2022","Total entering, Total","635","-2"
"212656","Geneva College","2022","Total entering, Total","393","-2"
"212674","Gettysburg College","2022","Total entering, Total","733","-2"
"213251","Juniata College","2022","Total entering, Total","465","-2"
"213303","Keystone College","2022","Total entering, Total","466","-2"
"213987","Mercyhurst University","2022","Total entering, Total","1040","-2"
"214148","Moore College of Art and Design","2022","Total entering, Total","121","-2"
"214166","Mount Aloysius College","2022","Total entering, Total","569","-2"
"214175","Muhlenberg College","2022","Total entering, Total","709","-2"
"214883","Peirce College","2022","Total entering, Total","787","-2"
"214971","Pennsylvania Academy of the Fine Arts","2022","Total entering, Total","57","-2"
"215114","Cairn University-Langhorne","2022","Total entering, Total","242","-2"
"215691","Rosemont College","2022","Total entering, Total","170","-2"
"216047","Saint Charles Borromeo Seminary-Overbrook","2022","Total entering, Total","21","-2"
"216278","Susquehanna University","2022","Total entering, Total","617","-2"
"216357","Thiel College","2022","Total entering, Total","309","-2"
"216542","University of Valley Forge","2022","Total entering, Total","259","-2"
"216667","Washington & Jefferson College","2022","Total entering, Total","437","-2"
"216807","Westminster College","2022","Total entering, Total","327","-2"
"217013","Wilson College","2022","Total entering, Total","146","-2"
"217165","Bryant University","2022","Total entering, Total","969","-2"
"217402","Providence College","2022","Total entering, Total","1157","-2"
"217493","Rhode Island School of Design","2022","Total entering, Total","523","-2"
"217518","Roger Williams University","2022","Total entering, Total","1527","-2"
"217606","Northpoint Bible College","2022","Total entering, Total","120","-2"
"217721","Benedict College","2022","Total entering, Total","828","-2"
"217873","Claflin University","2022","Total entering, Total","579","-2"
"217934","Columbia College","2022","Total entering, Total","701","-2"
"218070","Furman University","2022","Total entering, Total","762","-2"
"218238","Limestone University","2022","Total entering, Total","1204","-2"
"218414","Newberry College","2022","Total entering, Total","380","-2"
"218919","Voorhees University","2022","Total entering, Total","140","-2"
"219091","Dakota Wesleyan University","2022","Total entering, Total","253","-2"
"219718","Bethel University","2022","Total entering, Total","1414","-2"
"219833","Christian Brothers University","2022","Total entering, Total","578","-2"
"219949","Cumberland University","2022","Total entering, Total","509","-2"
"220181","Fisk University","2022","Total entering, Total","319","-2"
"220206","Welch College","2022","Total entering, Total","108","-2"
"220710","Maryville College","2022","Total entering, Total","414","-2"
"221351","Rhodes College","2022","Total entering, Total","528","-2"
"221731","Tennessee Wesleyan University","2022","Total entering, Total","456","-2"
"221953","Tusculum University","2022","Total entering, Total","365","-2"
"222877","Arlington Baptist University","2022","Total entering, Total","77","-2"
"222983","Austin College","2022","Total entering, Total","412","-2"
"223117","Baptist Missionary Association Theological Seminary","2022","Total entering, Total","27","-2"
"224244","Dallas Christian College","2022","Total entering, Total","150","-2"
"224527","East Texas Baptist University","2022","Total entering, Total","514","-2"
"225201","Hallmark University","2022","Total entering, Total","636","-2"
"225548","Howard Payne University","2022","Total entering, Total","413","-2"
"225575","Huston-Tillotson University","2022","Total entering, Total","293","-2"
"225885","Jarvis Christian University","2022","Total entering, Total","299","-2"
"226231","LeTourneau University","2022","Total entering, Total","874","-2"
"226587","McMurry University","2022","Total entering, Total","326","-2"
"227429","Paul Quinn College","2022","Total entering, Total","130","-2"
"228042","Schreiner University","2022","Total entering, Total","466","-2"
"228468","Southwestern Adventist University","2022","Total entering, Total","279","-2"
"229267","Trinity University","2022","Total entering, Total","689","-2"
"230816","Bennington College","2022","Total entering, Total","203","-2"
"230852","Champlain College","2022","Total entering, Total","1161","-2"
"230889","Goddard College","2022","Total entering, Total","98","-2"
"230995","Norwich University","2022","Total entering, Total","1276","-2"
"231059","Saint Michael's College","2022","Total entering, Total","620","-2"
"231420","Averett University","2022","Total entering, Total","445","-2"
"231554","Bluefield University","2022","Total entering, Total","505","-2"
"231581","Bridgewater College","2022","Total entering, Total","553","-2"
"232089","Ferrum College","2022","Total entering, Total","626","-2"
"232308","Hollins University","2022","Total entering, Total","219","-2"
"233295","Randolph-Macon College","2022","Total entering, Total","458","-2"
"233301","Randolph College","2022","Total entering, Total","222","-2"
"233426","Roanoke College","2022","Total entering, Total","658","-2"
"233718","Sweet Briar College","2022","Total entering, Total","170","-2"
"234173","Virginia Wesleyan University","2022","Total entering, Total","542","-2"
"235422","Heritage University","2022","Total entering, Total","337","-2"
"237136","Appalachian Bible College","2022","Total entering, Total","57","-2"
"237181","Bethany College","2022","Total entering, Total","285","-2"
"238476","Carthage College","2022","Total entering, Total","904","-2"
"238980","Lakeland University","2022","Total entering, Total","717","-2"
"239080","Marian University","2022","Total entering, Total","642","-2"
"239318","Milwaukee School of Engineering","2022","Total entering, Total","876","-2"
"239628","Ripon College","2022","Total entering, Total","235","-2"
"239716","Saint Norbert College","2022","Total entering, Total","604","-2"
"240338","Wisconsin Lutheran College","2022","Total entering, Total","376","-2"
"245652","St. John's College","2022","Total entering, Total","95","-2"
"245953","Mid-America Christian University","2022","Total entering, Total","769","-2"
"363712","Yeshivah Gedolah Rabbinical College","2022","Total entering, Total","51","-2"
"367884","Hodges University","2022","Total entering, Total","799","-2"
"385619","Everglades University","2022","Total entering, Total","867","-2"
"399911","Soka University of America","2022","Total entering, Total","100","-2"
"426314","Embry-Riddle Aeronautical University-Worldwide","2022","Total entering, Total","3404","-2"
"433387","Western Governors University","2022","Total entering, Total","26903","-2"
"433536","Herzing University-New Orleans","2022","Total entering, Total","294","-2"
"440794","Pillar College","2022","Total entering, Total","194","-2"
"443340","Williamson Christian College","2022","Total entering, Total","25","-2"
"444398","Baptist University of the Americas","2022","Total entering, Total","61","-2"
"445267","Central Methodist University-College of Graduate and Extended Studies","2022","Total entering, Total","1008","-2"
"446233","Ecclesia College","2022","Total entering, Total","102","-2"
"447953","SUM Bible College and Theological Seminary","2022","Total entering, Total","255","-2"
"456481","Polytechnic University of Puerto Rico-Miami","2022","Total entering, Total","18","-2"
"456490","Polytechnic University of Puerto Rico-Orlando","2022","Total entering, Total","25","-2"
"457402","University of Fort Lauderdale","2022","Total entering, Total","2","-2"
"457484","Pacific Rim Christian University","2022","Total entering, Total","26","-2"
"457697","City Vision University","2022","Total entering, Total","44","-2"
"459842","Herzing University-Kenosha","2022","Total entering, Total","228","-2"
"461032","Carolina College of Biblical Studies","2022","Total entering, Total","44","-2"
"461759","Simmons College of Kentucky","2022","Total entering, Total","130","-2"
"461795","North American University","2022","Total entering, Total","150","-2"
"474863","Los Angeles Pacific University","2022","Total entering, Total","950","-2"
"475398","Catholic Distance University","2022","Total entering, Total","43","-2"
"475608","Criswell College","2022","Total entering, Total","64","-2"
"480569","Florida Institute of Technology-Online","2022","Total entering, Total","1648","-2"
"480985","Midwives College of Utah","2022","Total entering, Total","87","-2"
"486284","Bethany Global University","2022","Total entering, Total","57","-2"
"490230","Reformed University","2022","Total entering, Total","7","-2"
"497408","Bridges Christian College","2022","Total entering, Total","42","-2"
