"unitid","institution name","year","SAL2021_NIS_RV.Full-time non-instructional staff - number","DRVEF122021_RV.Total 12-month unduplicated headcount"
"166850","Merrimack College","2021","423","6233"
"166939","Mount Holyoke College","2021","574","2303"
"167260","Nichols College","2021","113","1832"
"167996","Stonehill College","2021","328","2574"
"168227","Wentworth Institute of Technology","2021","322","5319"
"168342","Williams College","2021","746","2115"
"168528","Adrian College","2021","206","1918"
"168591","Alma College","2021","171","1484"
"168786","Aquinas College","2021","165","1686"
"169080","Calvin University","2021","332","3799"
"169327","Cleary University","2021","44","851"
"169363","Concordia University Ann Arbor","2021","103","1350"
"169442","College for Creative Studies","2021","197","1549"
"169479","Davenport University","2021","330","7426"
"169983","Kettering University","2021","253","2435"
"170000","Grace Christian University","2021","71","1610"
"170967","Rochester University","2021","80","1354"
"171599","The University of Olivet","2021","125","1131"
"171881","Kuyper College","2021","24","160"
"172033","Sacred Heart Major Seminary","2021","29","509"
"172264","Siena Heights University","2021","180","2528"
"173142","Bethany Lutheran College","2021","73","904"
"173300","Concordia College at Moorhead","2021","322","2063"
"173452","Martin Luther College","2021","58","1381"
"174127","Minneapolis College of Art and Design","2021","128","834"
"174154","Herzing University-Minneapolis","2021","19","1033"
"174437","North Central University","2021","136","1162"
"174491","University of Northwestern-St Paul","2021","286","3899"
"174792","Saint Johns University","2021","281","1752"
"174862","Crown College","2021","63","1760"
"175430","Blue Mountain Christian University","2021","69","1072"
"175980","Millsaps College","2021","134","787"
"176406","Tougaloo College","2021","207","832"
"176628","Avila University","2021","125","1645"
"176664","Mission University","2021","20","258"
"176910","Central Christian College of the Bible","2021","39","228"
"177065","Columbia College","2021","469","11384"
"177144","Culver-Stockton College","2021","125","1212"
"177214","Drury University","2021","206","1845"
"177542","Hannibal-LaGrange University","2021","71","996"
"178369","Missouri Valley College","2021","107","1862"
"178679","Ozark Christian College","2021","73","677"
"178721","Park University","2021","352","13257"
"179548","Stephens College","2021","122","691"
"179955","William Jewell College","2021","132","840"
"180106","Carroll College","2021","127","1182"
"180258","University of Providence","2021","89","1219"
"180984","Concordia University-Nebraska","2021","151","3823"
"181127","Hastings College","2021","96","1032"
"181446","Nebraska Wesleyan University","2021","156","4069"
"181738","Union Adventist University","2021","98","833"
"181853","York University","2021","71","733"
"183239","Saint Anselm College","2021","289","2049"
"183822","Bloomfield College","2021","131","1630"
"186186","Rabbinical College of America","2021","21","380"
"189413","Boricua College","2021","64","668"
"189705","Canisius University","2021","237","3223"
"189857","Central Yeshiva Tomchei Tmimim Lubavitz","2021","12","633"
"190099","Colgate University","2021","635","3107"
"190114","Metropolitan College of New York","2021","67","1325"
"190372","The Cooper Union for the Advancement of Science and Art","2021","158","927"
"190983","Elmira College","2021","125","802"
"191533","Hartwick College","2021","202","1228"
"191621","Hilbert College","2021","85","1589"
"191630","Hobart William Smith Colleges","2021","305","1903"
"191676","Houghton University","2021","114","1060"
"191931","Iona University","2021","366","3884"
"192192","Keuka College","2021","132","1668"
"192703","Manhattan College","2021","304","4163"
"193353","Mount Saint Mary College","2021","210","2455"
"193399","University of Mount Saint Vincent","2021","232","3245"
"194116","New York School of Interior Design","2021","47","849"
"194392","Paul Smiths College of Arts and Science","2021","105","743"
"194578","Pratt Institute-Main","2021","592","5337"
"194666","Rabbinical College Bobover Yeshiva Bnei Zion","2021","7","442"
"195164","St Bonaventure University","2021","304","2880"
"195173","St. Francis College","2021","191","2848"
"195216","St Lawrence University","2021","516","2417"
"195234","The College of Saint Rose","2021","285","4947"
"195243","St. Thomas Aquinas College","2021","121","2150"
"195304","Sarah Lawrence College","2021","200","1607"
"195438","Sh'or Yoshuv Rabbinical College","2021","14","242"
"195474","Siena College","2021","392","3645"
"195544","St. Joseph's University-New York","2021","303","5644"
"196440","Talmudical Institute of Upstate New York","2021",,"11"
"197133","Vassar College","2021","684","2481"
"197692","Yeshivath Shaar Hatorah","2021","6","125"
"197911","Barton College","2021","143","1290"
"197984","Belmont Abbey College","2021","159","1634"
"198066","Brevard College","2021","139","809"
"198215","Catawba College","2021","169","1518"
"198303","Chowan University","2021","130","1155"
"198598","Greensboro College","2021","81","1080"
"198613","Guilford College","2021","137","1578"
"198677","Heritage Bible College","2021","5","44"
"198756","Johnson C Smith University","2021","162","1392"
"198808","Lees-McRae College","2021","95","895"
"198862","Livingstone College","2021","135","1032"
"198899","Mars Hill University","2021","126","1144"
"198950","Meredith College","2021","273","1970"
"199032","Montreat College","2021","106","1082"
"199069","University of Mount Olive","2021","163","3065"
"199209","North Carolina Wesleyan University","2021","155","2031"
"199306","Pfeiffer University","2021","99","1337"
"199412","Queens University of Charlotte","2021","223","2755"
"199582","Saint Augustine's University","2021","145","1180"
"199607","Salem College","2021","73","679"
"199643","Shaw University","2021","150","1441"
"199698","St. Andrews University","2021","196","1041"
"199865","Warren Wilson College","2021","122","838"
"201061","Art Academy of Cincinnati","2021","32","244"
"201195","Baldwin Wallace University","2021","390","3842"
"201371","Bluffton University","2021","74","807"
"201964","Ohio Christian University","2021","95","2512"
"202170","Columbus College of Art & Design","2021","97","1045"
"202514","Defiance College","2021","86","700"
"202903","Gods Bible School and College","2021","43","421"
"203085","Heidelberg University","2021","152","1394"
"203128","Hiram College","2021","115","1387"
"203368","John Carroll University","2021","298","3605"
"203580","Lake Erie College","2021","83","1152"
"203775","Malone University","2021","142","1776"
"203845","Marietta College","2021","221","1608"
"204194","Mount Vernon Nazarene University","2021","211","2962"
"204501","Oberlin College","2021","524","2864"
"204617","Ohio Dominican University","2021","117","1715"
"205027","Pontifical College Josephinum","2021","30","104"
"205957","Franciscan University of Steubenville","2021","205","3996"
"206491","Wilberforce University","2021","90","520"
"206507","Wilmington College","2021","126","1267"
"206525","Wittenberg University","2021","189","1597"
"207157","Randall University","2021","18","369"
"207324","Oklahoma Christian University","2021","171","2442"
"207403","Oklahoma Baptist University","2021","177","1865"
"207856","Southwestern Christian University","2021","40","531"
"209065","Linfield University","2021","216","1441"
"209409","Bushnell University","2021","82","849"
"209603","Pacific Northwest College of Art","2021",,"616"
"209922","Reed College","2021","329","1455"
"210492","Bryn Athyn College of the New Church","2021","38","297"
"210571","Albright College","2021","230","1695"
"211291","Bucknell University","2021","853","3815"
"211893","Curtis Institute of Music","2021","54","146"
"212009","Dickinson College","2021","550","2088"
"212656","Geneva College","2021","144","1498"
"212674","Gettysburg College","2021","497","2581"
"213251","Juniata College","2021","190","1440"
"213303","Keystone College","2021","99","2365"
"213987","Mercyhurst University","2021","273","4049"
"214148","Moore College of Art and Design","2021","54","396"
"214166","Mount Aloysius College","2021","120","3024"
"214175","Muhlenberg College","2021","372","2295"
"214883","Peirce College","2021","64","1516"
"214971","Pennsylvania Academy of the Fine Arts","2021","76","202"
"215114","Cairn University-Langhorne","2021","98","1742"
"215691","Rosemont College","2021","77","864"
"216047","Saint Charles Borromeo Seminary-Overbrook","2021","31","218"
"216278","Susquehanna University","2021","290","2311"
"216357","Thiel College","2021","142","817"
"216542","University of Valley Forge","2021","43","678"
"216667","Washington & Jefferson College","2021","212","1193"
"216807","Westminster College","2021","152","1337"
"217013","Wilson College","2021","98","2399"
"217165","Bryant University","2021","472","4001"
"217402","Providence College","2021","547","5164"
"217493","Rhode Island School of Design","2021","615","2328"
"217518","Roger Williams University","2021","557","5171"
"217606","Northpoint Bible College","2021","32","325"
"217721","Benedict College","2021","179","1914"
"217873","Claflin University","2021","181","2217"
"217934","Columbia College","2021","100","1674"
"218070","Furman University","2021","620","2714"
"218238","Limestone University","2021","177","2312"
"218414","Newberry College","2021","125","1303"
"218919","Voorhees University","2021","102","409"
"219091","Dakota Wesleyan University","2021","92","1287"
"219718","Bethel University","2021","227","4778"
"219833","Christian Brothers University","2021","182","2295"
"219949","Cumberland University","2021","115","3020"
"220181","Fisk University","2021","78","952"
"220206","Welch College","2021","33","383"
"220710","Maryville College","2021","189","1123"
"221351","Rhodes College","2021","303","2053"
