"unitid","institution name","year","DRVEF122020_RV.Total 12-month unduplicated headcount","SAL2020_NIS_RV.Full-time non-instructional staff - number"
"166850","Merrimack College","2020","6600","396"
"166939","Mount Holyoke College","2020","2504","561"
"167260","Nichols College","2020","1844","109"
"167996","Stonehill College","2020","2618","345"
"168227","Wentworth Institute of Technology","2020","5456","347"
"168342","Williams College","2020","2307","758"
"168528","Adrian College","2020","1858","209"
"168591","Alma College","2020","1518","158"
"168786","Aquinas College","2020","1775","166"
"169080","Calvin University","2020","4020","370"
"169327","Cleary University","2020","802","63"
"169363","Concordia University Ann Arbor","2020","1330","101"
"169442","College for Creative Studies","2020","1572","206"
"169479","Davenport University","2020","8131","356"
"169983","Kettering University","2020","2670","276"
"170000","Grace Christian University","2020","1555","71"
"170967","Rochester University","2020","1255","86"
"171599","The University of Olivet","2020","1242","116"
"171881","Kuyper College","2020","155","22"
"172033","Sacred Heart Major Seminary","2020","526","31"
"172264","Siena Heights University","2020","2853","168"
"173142","Bethany Lutheran College","2020","884","70"
"173300","Concordia College at Moorhead","2020","2090","319"
"173452","Martin Luther College","2020","1471","57"
"174127","Minneapolis College of Art and Design","2020","862","120"
"174154","Herzing University-Minneapolis","2020","832","14"
"174437","North Central University","2020","1263","110"
"174491","University of Northwestern-St Paul","2020","3995","275"
"174792","Saint Johns University","2020","1799","287"
"174862","Crown College","2020","1784","60"
"175430","Blue Mountain Christian University","2020","941","62"
"175980","Millsaps College","2020","854","139"
"176406","Tougaloo College","2020","799","181"
"176628","Avila University","2020","2167","116"
"176664","Mission University","2020","239","19"
"176910","Central Christian College of the Bible","2020","245","38"
"177065","Columbia College","2020","13883","461"
"177144","Culver-Stockton College","2020","1185","130"
"177214","Drury University","2020","1914","183"
"177542","Hannibal-LaGrange University","2020","1013","62"
"178369","Missouri Valley College","2020","1978","107"
"178679","Ozark Christian College","2020","724","74"
"178721","Park University","2020","15373","357"
"179548","Stephens College","2020","751","125"
"179955","William Jewell College","2020","819","130"
"180106","Carroll College","2020","1278","136"
"180258","University of Providence","2020","1239","110"
"180984","Concordia University-Nebraska","2020","3955","125"
"181127","Hastings College","2020","1043","100"
"181446","Nebraska Wesleyan University","2020","4430","164"
"181738","Union Adventist University","2020","1079","100"
"181853","York University","2020","603","64"
"183239","Saint Anselm College","2020","2063","361"
"183822","Bloomfield College","2020","1737","145"
"186186","Rabbinical College of America","2020","353","20"
"189413","Boricua College","2020","1058","63"
"189705","Canisius University","2020","3538","264"
"189857","Central Yeshiva Tomchei Tmimim Lubavitz","2020","708","14"
"190099","Colgate University","2020","3112","651"
"190114","Metropolitan College of New York","2020","1487","71"
"190372","The Cooper Union for the Advancement of Science and Art","2020","985","162"
"190983","Elmira College","2020","935","129"
"191533","Hartwick College","2020","1227","178"
"191621","Hilbert College","2020","1383","77"
"191630","Hobart William Smith Colleges","2020","2109","283"
"191676","Houghton University","2020","1062","115"
"191931","Iona University","2020","4155","364"
"192192","Keuka College","2020","1891","129"
"192703","Manhattan College","2020","4322","341"
"193353","Mount Saint Mary College","2020","2573","225"
"193399","University of Mount Saint Vincent","2020","2489","235"
"194116","New York School of Interior Design","2020","848","48"
"194392","Paul Smiths College of Arts and Science","2020","744","93"
"194578","Pratt Institute-Main","2020","6418","574"
"194666","Rabbinical College Bobover Yeshiva Bnei Zion","2020","405","8"
"195164","St Bonaventure University","2020","2796","300"
"195173","St. Francis College","2020","2804","178"
"195216","St Lawrence University","2020","2554","514"
"195234","The College of Saint Rose","2020","4778","312"
"195243","St. Thomas Aquinas College","2020","2280","110"
"195304","Sarah Lawrence College","2020","1728","206"
"195438","Sh'or Yoshuv Rabbinical College","2020","194","12"
"195474","Siena College","2020","3498","390"
"195544","St. Joseph's University-New York","2020","5901","307"
"196440","Talmudical Institute of Upstate New York","2020","17",
"197133","Vassar College","2020","2591","693"
"197692","Yeshivath Shaar Hatorah","2020","108","6"
"197911","Barton College","2020","1276","137"
"197984","Belmont Abbey College","2020","1600","155"
"198066","Brevard College","2020","785","142"
"198215","Catawba College","2020","1572","163"
"198303","Chowan University","2020","1328","133"
"198598","Greensboro College","2020","1178","84"
"198613","Guilford College","2020","1674","142"
"198677","Heritage Bible College","2020","74","5"
"198756","Johnson C Smith University","2020","1669","188"
"198808","Lees-McRae College","2020","920","93"
"198862","Livingstone College","2020","1260","153"
"198899","Mars Hill University","2020","1129","181"
"198950","Meredith College","2020","1972","275"
"199032","Montreat College","2020","1046","94"
"199069","University of Mount Olive","2020","3621","163"
"199209","North Carolina Wesleyan University","2020","2203","161"
"199306","Pfeiffer University","2020","1407","92"
"199412","Queens University of Charlotte","2020","2873","210"
"199582","Saint Augustine's University","2020","1108","135"
"199607","Salem College","2020","801","79"
"199643","Shaw University","2020","1386","145"
"199698","St. Andrews University","2020","937","209"
"199865","Warren Wilson College","2020","845","116"
"201061","Art Academy of Cincinnati","2020","229","32"
"201195","Baldwin Wallace University","2020","4066","373"
"201371","Bluffton University","2020","860","67"
"201964","Ohio Christian University","2020","3332","112"
"202170","Columbus College of Art & Design","2020","1131","100"
"202514","Defiance College","2020","613","83"
"202903","Gods Bible School and College","2020","458","37"
"203085","Heidelberg University","2020","1364","155"
"203128","Hiram College","2020","1437","123"
"203368","John Carroll University","2020","3857","288"
"203580","Lake Erie College","2020","1216","106"
"203775","Malone University","2020","2020","134"
"203845","Marietta College","2020","1459","234"
"204194","Mount Vernon Nazarene University","2020","3010","226"
"204501","Oberlin College","2020","3057","633"
"204617","Ohio Dominican University","2020","1947","99"
"205027","Pontifical College Josephinum","2020","136","31"
"205957","Franciscan University of Steubenville","2020","3687","213"
"206491","Wilberforce University","2020","620","65"
"206507","Wilmington College","2020","1320","122"
"206525","Wittenberg University","2020","1690","186"
"207157","Randall University","2020","398","16"
"207324","Oklahoma Christian University","2020","2417","160"
"207403","Oklahoma Baptist University","2020","1962","110"
"207856","Southwestern Christian University","2020","543","40"
"209065","Linfield University","2020","1480","235"
"209409","Bushnell University","2020","1092","73"
"209603","Pacific Northwest College of Art","2020","692","70"
"209922","Reed College","2020","1562","339"
"210492","Bryn Athyn College of the New Church","2020","325","36"
"210571","Albright College","2020","1996","225"
"211291","Bucknell University","2020","3868","885"
"211893","Curtis Institute of Music","2020","173","48"
"212009","Dickinson College","2020","2226","551"
"212656","Geneva College","2020","1573","140"
"212674","Gettysburg College","2020","2638","528"
"213251","Juniata College","2020","1651","218"
"213303","Keystone College","2020","2618","105"
