UnitID,Institution Name,Total expenses-Total amount (F2122_F2),Total expenses-Total amount (F2021_F2),Total expenses-Total amount (F1920_F2),Total expenses-Total amount (F1819_F2),
179548,Stephens College,23152838,19374513,22023585,22736630,
155937,Sterling College,15203319,13778885,13418089,15088449,
167996,Stonehill College,95829546,90902186,97515143,102369915,
447953,SUM Bible College and Theological Seminary,6558602,6364006,6912200,6294900,
216278,Susquehanna University,84924739,81205345,81360370,85112710,
233718,Sweet Briar College,30816180,28086145,27965482,27964537,
155973,Tabor College,17614501,17677302,15514866,15946282,
102298,Talladega College,17800481,25503614,22042692,20496405,
137777,Talmudic College of Florida,4477912,4724346,3570255,4331374,
196440,Talmudical Institute of Upstate New York,304730,477662,1989310,1848481,
152530,Taylor University,68200000,61779000,66200000,67539000,
149329,Telshe Yeshiva-Chicago,9127415,4601847,4593615,4142517,
221731,Tennessee Wesleyan University,24377428,21985450,20798783,18186679,
142294,The College of Idaho,37005274,30398068,33006893,33586317,
195234,The College of Saint Rose,66230366,67482022,76476770,80135954,
190372,The Cooper Union for the Advancement of Science and Art,86376927,81188085,80064303,78434505,
171599,The University of Olivet,25222974,22918093,22844897,24747570,
216357,Thiel College,31098780,26411243,24427578,26440661,
161563,Thomas College,20685843,23326087,19774732,20478165,
157809,Thomas More University,35628904,31117121,32927525,32616641,
141167,Thomas University,17875152,14446834,14469689,14844897,
141185,Toccoa Falls College,17117648,17046146,16698003,16984605,
176406,Tougaloo College,29023063,25779792,23963418,25851367,
137953,Trinity Baptist College,4713041,4394779,3889132,3909332,
149505,Trinity Christian College,32337412,29093253,30762962,29969067,
130590,Trinity College,166818797,148086162,163216358,160929728,
135610,Trinity International University-Florida,1900065,1823373,1978962,2167592,
229267,Trinity University,151529826,147111110,145067849,142692005,
131876,Trinity Washington University,39232822,35094520,35790186,33751752,
141237,Truett McConnell University,24887887,23770533,22064737,21627839,
221953,Tusculum University,29882188,28892066,32983475,32620336,
181738,Union Adventist University,27465596,25917007,26907868,26431153,
157863,Union College,21554736,19692684,20406079,21095976,
161572,Unity Environmental University,29551878,19406853,23735757,22630833,
457402,University of Fort Lauderdale,3286976,2067630,1079825,1269178,
199069,University of Mount Olive,34257205,34688172,39369846,44421041,
193399,University of Mount Saint Vincent,69869320,62976037,55284171,52063474,
174491,University of Northwestern-St Paul,90964008,79323114,82423015,82935786,
180258,University of Providence,23108193,21984658,24270749,25385761,
488785,University of Saint Katherine,5943584,4231806,3816623,3448709,
216542,University of Valley Forge,14647209,11992903,13571530,15074510,
154493,Upper Iowa University,50112775,48689986,53713591,53996038,
149639,VanderCook College of Music,6524656,4843166,5091835,5472250,
123651,Vanguard University of Southern California,56918449,50259155,48939468,46127311,
197133,Vassar College,215766678,201675756,196941351,200214236,
234173,Virginia Wesleyan University,42548251,39918964,42821155,43166601,
218919,Voorhees University,25751515,15778449,14562254,14170884,
138275,Warner University,18622859,19438952,18734911,18059631,
199865,Warren Wilson College,30575929,26463499,27632588,28185848,
154527,Wartburg College,51098969,50471352,49482678,49892360,
216667,Washington & Jefferson College,54200649,56230240,59245028,59183344,
162210,Washington Adventist University,35198643,26849952,29602314,33392912,
138293,Webber International University,19733548,16450191,14643316,13624148,
220206,Welch College,8369075,7487489,8172008,8423293,
168227,Wentworth Institute of Technology,136500957,129185880,134188288,130444899,
141325,Wesleyan College,19776983,17977036,17652689,20297289,
433387,Western Governors University,1034306390,966586663,838284144,738973678,
216807,Westminster College,40577794,36180872,36828053,41247620,
125763,Whittier College,56975625,49832610,66458541,70472555,
206491,Wilberforce University,17831207,14780195,16923342,17383043,
122728,William Jessup University,45646600,39335610,38394459,37553463,
179955,William Jewell College,37703143,35399822,33233381,34043211,
154590,William Penn University,24487803,23358246,22766079,23027707,
107877,Williams Baptist University,12722088,11768559,10191732,9806191,
168342,Williams College,279937604,266915796,269115117,273999800,
443340,Williamson Christian College,1112462,1106632,944715,909305,
206507,Wilmington College,27481700,27749544,26026288,25794501,
217013,Wilson College,27520196,25696298,26790789,27079951,
240338,Wisconsin Lutheran College,34248850,31074757,30914896,31693226,
206525,Wittenberg University,56786867,51937348,53848710,53291301,
125897,Woodbury University,37153866,37287899,37861337,38739037,
363712,Yeshivah Gedolah Rabbinical College,1307993,1002395,699100,650175,
197692,Yeshivath Shaar Hatorah,2950500,2837684,2677061,2545525,
181853,York University,12262821,11546442,10900092,10342903,
141361,Young Harris College,30657343,29202619,29002834,32023648,
